Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
Pollinations,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Cryptocurrency",1-10,1,"$100,000",Pre-Seed,2022-04-27,"$100,000",1.0,1.0,Pollinations is the platform for creating AI tech developing tools.,Blockchain,Pollinations Blockchain startup website,461.0,,198.0,500.0,1,$,100000.0,$,100000.0,1.06,historical,1.06,106000.0,106000.0,4
automaited,2021-01-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,"Artificial Intelligence (AI), B2B,",11-50,2,"€5,000,000",Seed,2022-04-28,"€4,000,000",4.0,,"World’s first general process AI that automatically automates any business process. Quick, easy, efficient.",Artificial Intelligence (AI),automaited Artificial Intelligence (AI) startup website,,,4000.0,500.0,1,€,5000000.0,€,4000000.0,1.06,historical,1.06,5000000.0,4000000.0,4
MARA Solutions,2020-03-31,"Mannheim, Baden-Wurttemberg,",Mannheim,Baden-Wurttemberg,"Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€747,000",Seed,2022-05-01,"€500,000",,,AI Review Reply Assistant & Customer Review Analytics,Analytics,MARA Solutions Analytics startup website,,,3000.0,500.0,1,€,747000.0,€,500000.0,1.05,historical,1.05,747000.0,500000.0,4
WebSniffer,2022-01-01,"Nuremberg, Bayern, Germany",Nuremberg,Bayern,"Analytics, Big Data, Business Intelligence,,,,,,,",1-10,1,,Pre-Seed,2022-05-01,,,26.0,An intelligence platform that tracks changes on the web and provides actionable insights,Analytics,WebSniffer Analytics startup website,724.0,24.0,3000.0,500.0,1,,,,,1.05,historical,1.05,,,3
charly,2020-10-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Compliance, Developer Tools,,,,",11-50,2,"$1,553,523",Pre-Seed,2022-05-01,"€1,000,000",1.0,1.0,Charly Group created a hybrid work management framework for individual work levels.,Compliance,charly Compliance startup website,,,3000.0,500.0,1,$,1553523.0,€,1000000.0,1.05,historical,1.05,1631199.15,1000000.0,4
accessia,2022-04-19,"Berlin, Berlin, Germany",Berlin,Berlin,"Business Development, Productivity Tools,",1-10,1,,Pre-Seed,2022-05-01,,1.0,,Track and manage software subscriptions,Business Development,accessia Business Development startup website,969.0,,5000.0,500.0,1,,,,,1.05,historical,1.05,,,2
UniApp,2020-12-03,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"EdTech, Education, Higher Education",11-50,1,"€1,000,000",Seed,2022-05-02,"€1,000,000",,5.0,UniApp is an EdTech Empowering International Education,EdTech,UniApp EdTech startup website,,,3000.0,500.0,1,€,1000000.0,€,1000000.0,1.05,historical,1.05,1000000.0,1000000.0,4
Geany,2021-01-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Desktop Apps, Developer Tools,,",11-50,1,"A$190,000",Pre-Seed,2022-05-09,"A$190,000",1.0,1.0,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environment.,Desktop Apps,Geany Desktop Apps startup website,,,,,0,$,190000.0,$,190000.0,1.05,historical,1.05,199500.0,199500.0,4
CibusCell,2020-01-01,"Speyer, Rheinland-Pfalz, Germany",Speyer,Rheinland-Pfalz,"Big Data, Collaboration, Internet of Things,,,,,",11-50,1,,Seed,2022-05-09,,1.0,1.0,CibusCell provides an open Software-as-a-Service (SaaS) platform for climate neutral energy suppliers.,Big Data,CibusCell Big Data startup website,,,2000.0,500.0,1,,,,,1.05,historical,1.05,,,5
emplu,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Employee Benefits, Software",11-50,2,,Pre-Seed,2022-05-10,,8.0,,emplu develops a software platform for building salary packages as diverse as the people involved.,Apps,emplu Apps startup website,,,2000.0,500.0,1,,,,,1.06,historical,1.06,,,4
Fyrfeed,2020-10-10,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Content Marketing,,,,",11-50,4,"€2,430,000",Seed,2022-05-17,"€2,000,000",11.0,,"Fyrfeed is an AI-powered subscription service delivering high-quality, ready-to-publish content for b2b customers.",Artificial Intelligence (AI),Fyrfeed Artificial Intelligence (AI) startup website,,,5000.0,500.0,1,€,2430000.0,€,2000000.0,1.04,historical,1.04,2430000.0,2000000.0,4
Yoffix,2020-12-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Human Resources, SaaS, Software",11-50,1,"€550,000",Seed,2022-05-19,"€550,000",1.0,2.0,Hybrid work platform and solution.,Human Resources,Yoffix Human Resources startup website,,,3000.0,500.0,1,€,550000.0,€,550000.0,1.05,historical,1.05,550000.0,550000.0,4
Biralabs,2021-12-16,"Munich, Bayern, Germany",Munich,Bayern,"Art, Artificial Intelligence (AI),,",1-10,1,,Pre-Seed,2022-05-20,,1.0,,AI generated Illustrations,Art,Biralabs Art startup website,,,13.0,1.0,0,,,,,1.06,historical,1.06,,,3
Twain,2021-10-07,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Sales",11-50,2,"$4,554,338",Pre-Seed,2022-05-23,"$4,000,000",16.0,,AI communication assistant for outreach.,Artificial Intelligence (AI),Twain Artificial Intelligence (AI) startup website,,,4000.0,11700.0,1,$,4554338.0,$,4000000.0,1.06,historical,1.06,4827598.28,4240000.0,3
DeepImmo,2020-06-18,"Munich, Bayern, Germany",Munich,Bayern,"Real Estate, Software",1-10,1,,Pre-Seed,2022-05-23,,,,DeepImmo offers real estate location analysis.,Real Estate,DeepImmo Real Estate startup website,,,795.0,500.0,1,,,,,1.06,historical,1.06,,,4
PatentPlus,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Information Technology,,,,,,",1-10,2,,Seed,2022-05-31,,3.0,4.0,PatentPlus is a digital B2B marketplace for patented technologies that connects research organizations with corporations and investors.,Analytics,PatentPlus Analytics startup website,,,262.0,447.0,0,,,,,1.08,historical,1.08,,,4
Clypp,2020-03-24,"Munich, Bayern, Germany",Munich,Bayern,"E-Learning, Information Services,,,,,",1-10,1,,Pre-Seed,2022-06-01,,1.0,1.0,Clypp empowers employees to share their knowledge through short video tutorials,E-Learning,Clypp E-Learning startup website,,81.0,1000.0,500.0,1,,,,,1.07,historical,1.07,,,4
Looks,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Consumer Software,,,",1-10,1,,Pre-Seed,2022-06-01,,1.0,,Looks is a mobile application that enables users to customize outfits based on the occasion.,Artificial Intelligence (AI),Looks Artificial Intelligence (AI) startup website,52.0,,,,0,,,,,1.07,historical,1.07,,,3
Finstep,2022-04-27,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"EdTech, Education, FinTech",1-10,1,,Pre-Seed,2022-06-04,,,,"Mobile App, Financial Education for GenZ",EdTech,Finstep EdTech startup website,,,499.0,258.0,0,,,,,1.07,historical,1.07,,,2
Certivity,2021-01-01,"München, Bayern, Germany",München,Bayern,"Legal Tech, SaaS, Software, Web Development",11-50,1,"€1,400,000",Seed,2022-06-07,"€1,400,000",4.0,2.0,"Certivity RegTech Software solution makes regulatory management smarter, more transparent, more efficient, and way cheaper.",Legal Tech,Certivity Legal Tech startup website,,,2000.0,500.0,1,€,1400000.0,€,1400000.0,1.07,historical,1.07,1400000.0,1400000.0,4
Otterspace,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,1,"$3,700,000",Pre-Seed,2022-06-13,"$3,700,000",35.0,,Otterspace takes care of DAOs.,Software,Otterspace Software startup website,,,,,0,$,3700000.0,$,3700000.0,1.05,historical,1.05,3885000.0,3885000.0,3
Friday Finance,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Banking, Finance, Financial Services,,,",51-100,3,"$22,984,098",Series A,2022-06-14,"$20,000,000",15.0,16.0,Friday Finance is a finance management platform that automates financial management for startups and SMBs.,Banking,Friday Finance Banking startup website,,243.0,75000.0,500.0,1,$,22984098.0,$,20000000.0,1.04,historical,1.04,23903461.92,20800000.0,4
Mataono,2021-01-01,"Dresden, Sachsen, Germany",Dresden,Sachsen,"Corporate Training, Market Research,,,",1-10,2,"€800,000",Seed,2022-06-15,,,,Mataono is a SaaS which turns meetings into experiences based on emotions,Corporate Training,Mataono Corporate Training startup website,,,952.0,500.0,1,€,800000.0,,,1.04,historical,1.04,800000.0,,4
tl;dv,2020-04-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,"Artificial Intelligence (AI), Meeting Software,,",11-50,2,"€4,300,000",Seed,2022-06-16,"€4,300,000",6.0,10.0,Join fewer & host leaner live meetings. Catch up on meetings in minutes.,Artificial Intelligence (AI),tl;dv Artificial Intelligence (AI) startup website,,,28000.0,500.0,1,€,4300000.0,€,4300000.0,1.05,historical,1.05,4300000.0,4300000.0,4
Text Cortex AI,2021-07-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Content Marketing,,,,,,",11-50,2,"$1,200,000",Pre-Seed,2022-06-21,"$1,200,000",5.0,2.0,Text Cortex AI develops a customizable AI-based text-generating platform that provides copywriting assistance.,Artificial Intelligence (AI),Text Cortex AI Artificial Intelligence (AI) startup website,,,3000.0,4810.0,1,$,1200000.0,$,1200000.0,1.05,historical,1.05,1260000.0,1260000.0,3
TradeLink,2020-01-01,"München, Bayern, Germany",München,Bayern,"Collaboration, Logistics, Software",51-100,2,,Series A,2022-06-21,,3.0,2.0,TradeLink is a developer of a digital delivery and transport information platform.,Collaboration,TradeLink Collaboration startup website,,,5000.0,500.0,1,,,,,1.05,historical,1.05,,,5
Traverise,2022-01-01,"Herborn, Hessen, Germany",Herborn,Hessen,"SaaS, Training, Travel Accommodations",1-10,1,,Seed,2022-06-22,,1.0,,All-in-One Booking Management Software for SMEs,SaaS,Traverise SaaS startup website,79.0,,886.0,500.0,1,,,,,1.05,historical,1.05,,,3
Cognote,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Health Care,,",1-10,1,,Seed,2022-06-28,,1.0,,Cognote is a vertical AI assistant that engages in automating medical documentation for physicians.,Artificial Intelligence (AI),Cognote Artificial Intelligence (AI) startup website,,,,,0,,,,,1.06,historical,1.06,,,5
Timecho,2021-01-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Analytics, Data Storage, Internet of Things",11-50,1,"$10,000,000",Seed,2022-06-29,"$10,000,000",4.0,,Timecho is an IoT-native time series database.,Analytics,Timecho Analytics startup website,42.0,,498.0,34.0,0,$,10000000.0,$,10000000.0,1.05,historical,1.05,10500000.0,10500000.0,4
Drippies,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Fashion, Non-Fungible Token (NFT),",1-10,1,"$250,000",Seed,2022-06-30,"$250,000",1.0,,"Drippies, a web3-based fashion and lifestyle platform that integrates technology, community, education, and fashion.",Blockchain,Drippies Blockchain startup website,,,43000.0,500.0,1,$,250000.0,$,250000.0,1.04,historical,1.04,260000.0,260000.0,4
Aware,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Health Care, Software, Wellness",11-50,2,"$15,000,000",Seed,2022-06-30,"$15,000,000",11.0,4.0,Aware is a mobile app for evaluating health data and for researching chronic diseases.,Apps,Aware Apps startup website,,,4000.0,500.0,1,$,15000000.0,$,15000000.0,1.04,historical,1.04,15600000.0,15600000.0,4
Suburban Health,2020-01-01,"England, Nordrhein-Westfalen,",England,Nordrhein-Westfalen,"Health Care, Medical, Software",,1,"$100,000",Pre-Seed,2022-06-30,"$100,000",2.0,,Suburban Health is a medical software startup that was founded and is supported by frontline healthcare providers.,Health Care,Suburban Health Health Care startup website,,,,,0,$,100000.0,$,100000.0,1.04,historical,1.04,104000.0,104000.0,5
Coachinho,2021-03-02,"Bonn, Nordrhein-Westfalen, Germany",Bonn,Nordrhein-Westfalen,"Artificial Intelligence (AI), Computer Vision,,,,,,,",1-10,2,"€400,000",Pre-Seed,2022-07-01,"€200,000",2.0,1.0,Our interactive Learning Game App provides digital Training with Soccer Pro's based on AI - real-time feedback based on Pros' motion data.,Artificial Intelligence (AI),Coachinho Artificial Intelligence (AI) startup website,,122.0,3000.0,500.0,1,€,400000.0,€,200000.0,1.05,historical,1.05,400000.0,200000.0,3
Flagright,2021-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Compliance, Financial Services,,,,,",11-50,1,"$2,800,000",Seed,2022-07-07,"$2,800,000",11.0,76.0,"AI-native AML compliance & risk management platform to monitor, screen, investigate, and report",Compliance,Flagright Compliance startup website,140.0,,11000.0,500.0,1,$,2800000.0,$,2800000.0,1.02,historical,1.02,2856000.0,2856000.0,3
Bringoo,2020-12-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"E-Commerce, E-Commerce Platforms,,,,,",51-100,4,"€5,800,000",Series A,2022-07-18,"€5,000,000",10.0,5.0,Local-Commerce-Platfrom with additional fulfillment and delivery options,E-Commerce,Bringoo E-Commerce startup website,,,2000.0,500.0,1,€,5800000.0,€,5000000.0,1.01,historical,1.01,5800000.0,5000000.0,4
Rex,2021-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Health Care, Pet, Veterinary",51-100,2,"€5,000,000",Seed,2022-07-18,"€5,000,000",22.0,,"Rex is a platform building and operating design-forward, tech-enabled vet clinics.",Apps,Rex Apps startup website,,,,,0,€,5000000.0,€,5000000.0,1.01,historical,1.01,5000000.0,5000000.0,3
ONIQ,2020-09-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Application Performance Management,,,,,",11-50,2,"€3,925,000",Seed,2022-07-20,"€3,500,000",2.0,5.0,Enabling next level productivity gains through digital lean manufacturing and end-to-end process transparency.,Application Performance Management,ONIQ Application Performance Management startup website,,,2000.0,500.0,1,€,3925000.0,€,3500000.0,1.02,historical,1.02,3925000.0,3500000.0,4
ScaleNC,2020-08-28,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"CAD, Cloud Computing, Industrial Manufacturing,,,,,",1-10,1,"€4,000,000",Seed,2022-07-20,"€4,000,000",1.0,1.0,ScaleNC is a B2B start-up that offers on-demand services for sheet metal manufacturing on a cloud platform.,CAD,ScaleNC CAD startup website,11.0,,1000.0,500.0,1,€,4000000.0,€,4000000.0,1.02,historical,1.02,4000000.0,4000000.0,4
RevoAI GmbH,2021-01-01,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Information Technology, Software",1-10,3,,Pre-Seed,2022-08-01,,2.0,,We enable engineers to deliver incredible products. Faster.,Information Technology,RevoAI GmbH Information Technology startup website,,,1000.0,500.0,1,,,,,1.02,historical,1.02,,,4
STRYZA,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Manufacturing, SaaS, Software",1-10,1,,Pre-Seed,2022-08-01,,2.0,,B2B SaaS Application for industrial manufacturing.,Manufacturing,STRYZA Manufacturing startup website,,,1000.0,500.0,1,,,,,1.02,historical,1.02,,,3
Swaarm,2020-09-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Affiliate Marketing, Digital Marketing,,,,",11-50,3,"€800,000",Seed,2022-08-01,,1.0,21.0,SaaS Performance Marketing Tracking Platform,Affiliate Marketing,Swaarm Affiliate Marketing startup website,,,3000.0,500.0,1,€,800000.0,,,1.02,historical,1.02,800000.0,,4
INHUBBER,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), B2B,,,,",11-50,7,"€1,845,000",Seed,2022-08-01,,5.0,19.0,INHUBBER is the world's safest SaaS contract lifecycle management platform with a native digital signature.,Artificial Intelligence (AI),INHUBBER Artificial Intelligence (AI) startup website,4.0,,10000.0,500.0,1,€,1845000.0,,,1.02,historical,1.02,1845000.0,,5
Mate Software GmbH,2020-01-01,"Bielefeld, Nordrhein-Westfalen,",Bielefeld,Nordrhein-Westfalen,"Marketing, Software",11-50,1,,Pre-Seed,2022-08-01,,,1.0,"We enable marketers, agencies and all other human beings to produce awesome content – without any design effort.",Marketing,Mate Software GmbH Marketing startup website,6.0,,1000.0,500.0,1,,,,,1.02,historical,1.02,,,5
Cometum,2020-05-01,"Munich, Bayern, Germany",Munich,Bayern,"Banking, Blockchain, Cryptocurrency,,,",1-10,2,"€450,000",Pre-Seed,2022-08-01,"€250,000",,,Cometum´s mission is to become Europe´s No.1 digital private bank for affluents and HNW-Millennials.,Banking,Cometum Banking startup website,44.0,,922.0,500.0,1,€,450000.0,€,250000.0,1.02,historical,1.02,450000.0,250000.0,4
Pigtie,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Finance, FinTech, Mobile Apps,",1-10,2,,Pre-Seed,2022-08-04,,1.0,1.0,Pigtie is an app that enables people to start investing and tackle their whole financial planning.,Finance,Pigtie Finance startup website,,,1000.0,500.0,1,,,,,1.02,historical,1.02,,,5
Aivy,2020-01-28,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Human Resources,,,,",11-50,5,"€2,158,000",Seed,2022-08-04,"€1,000,000",4.0,,Scientific Diagnostic-SaaS that helps HR to achieve a 5x better pre-selection and avoid 30 % of their bad hires before the first interview.,Artificial Intelligence (AI),Aivy Artificial Intelligence (AI) startup website,69.0,,4000.0,500.0,1,€,2158000.0,€,1000000.0,1.02,historical,1.02,2158000.0,1000000.0,4
Babiot,2020-01-01,"Essen, Nordrhein-Westfalen, Germany",Essen,Nordrhein-Westfalen,"Electronics, Information Technology,,,",11-50,1,"€2,000,000",Seed,2022-08-08,"€2,000,000",3.0,,Babiot develops electronics online tools to access control and tracking systems.,Electronics,Babiot Electronics startup website,1.0,,429.0,466.0,0,€,2000000.0,€,2000000.0,1.02,historical,1.02,2000000.0,2000000.0,5
Junto,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, EdTech, Software",1-10,3,"€6,200,000",Seed,2022-08-10,"€5,000,000",14.0,1.0,Junto is an EdTech that offers digital live training for companies.,E-Learning,Junto E-Learning startup website,,,4000.0,500.0,1,€,6200000.0,€,5000000.0,1.02,historical,1.02,6200000.0,5000000.0,3
Pathmonk,2020-05-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Artificial Intelligence (AI), Software",11-50,2,"€1,700,000",Seed,2022-08-11,"€1,500,000",2.0,2.0,"Pathmonk is an intelligent assistant for websites, to increase conversions and qualify leads.",Artificial Intelligence (AI),Pathmonk Artificial Intelligence (AI) startup website,541.0,,14000.0,500.0,1,€,1700000.0,€,1500000.0,1.03,historical,1.03,1700000.0,1500000.0,4
EcoBeam,2022-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Web Development,11-50,1,"€15,000",Pre-Seed,2022-08-11,"€15,000",1.0,,Ecobeam is a p2p for a greener future through improved resource allocation and a better climate.,Web Development,EcoBeam Web Development startup website,,631.0,1000.0,500.0,1,€,15000.0,€,15000.0,1.03,historical,1.03,15000.0,15000.0,3
elvah,2020-01-01,"Grafschaft, Niedersachsen, Germany",Grafschaft,Niedersachsen,"Charging Infrastructure, Electric Vehicle,",11-50,2,"€3,200,000",Seed,2022-08-11,,5.0,3.0,"elvah helps find working and suitable EV charging stations, thanks to live data and community feedback.",Charging Infrastructure,elvah Charging Infrastructure startup website,213.0,,4000.0,500.0,1,€,3200000.0,,,1.03,historical,1.03,3200000.0,,5
Modoplus,2021-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Information Technology,",11-50,1,"€550,000",Pre-Seed,2022-08-19,"€550,000",,,Modoplus is a cloud-based AI platform that helps real estate developers to plan in the early stage of development.,Artificial Intelligence (AI),Modoplus Artificial Intelligence (AI) startup website,24.0,585.0,2000.0,500.0,1,€,550000.0,€,550000.0,1.01,historical,1.01,550000.0,550000.0,4
Lamin Labs,2022-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Biotechnology, Data Integration,",1-10,1,,Pre-Seed,2022-08-22,,3.0,,Lamin Labs develops data infrastructure for biology that enables data scientists and engineers to collaborate on a single data layer.,Biotechnology,Lamin Labs Biotechnology startup website,193.0,,344.0,25.0,0,,,,,1.0,historical,1.0,,,3
muffintech,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Financial Services, Generative AI,,",11-50,1,"$120,000",Pre-Seed,2022-08-25,"$120,000",1.0,,"muffintech is innovating the insurance industry with conversational AI, enhancing customer interactions and operational efficiency.",Financial Services,muffintech Financial Services startup website,,,2000.0,500.0,1,$,120000.0,$,120000.0,1.0,historical,1.0,120000.0,120000.0,4
E-TERRY,2022-04-04,"Erfurt, Thuringen, Germany",Erfurt,Thuringen,"Agriculture, AgTech, Artificial Intelligence (AI),,,,",1-10,2,"€1,200,000",Pre-Seed,2022-08-26,"€1,200,000",1.0,,"E-TERRY builds an autonomous agricultural robot, designed to advance sustainable agriculture on a large scale through automation and AI.",Agriculture,E-TERRY Agriculture startup website,,200.0,2000.0,500.0,1,€,1200000.0,€,1200000.0,1.0,historical,1.0,1200000.0,1200000.0,2
LIVID,2021-01-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,"E-Commerce, Marketing, Retail,,",11-50,1,,Seed,2022-09-01,,,,"LIVID is an immersive, digital platform, where retailers, customers and products interact without boundaries.",E-Commerce,LIVID E-Commerce startup website,,,482.0,9.0,0,,,,,1.0,historical,1.0,,,4
PenPal,2022-05-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Communities, Dating, Social Network",1-10,1,"€150,000",Pre-Seed,2022-09-01,"€150,000",,,PenPal is a social matching platform for building meaningful relationships with a physical touch.,Apps,PenPal Apps startup website,,692.0,138.0,500.0,1,€,150000.0,€,150000.0,1.0,historical,1.0,150000.0,150000.0,2
IvyCheck,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Cyber Security, Data Management,",1-10,1,"$500,000",Pre-Seed,2022-09-07,"$500,000",1.0,,IvyCheck is a AI driven cybersecurity company that offers enterprise teams a tool for extracting hidden insights from data.,B2B,IvyCheck B2B startup website,,,340.0,358.0,0,$,500000.0,$,500000.0,0.99,historical,0.99,495000.0,495000.0,3
Valuecase,2021-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Information Technology, SaaS,,,",11-50,2,"€3,500,000",Pre-Seed,2022-09-08,"€3,000,000",11.0,2.0,End-to-end customer engagement platform for B2B growth teams.,Information Technology,Valuecase Information Technology startup website,,,4000.0,500.0,1,€,3500000.0,€,3000000.0,1.0,historical,1.0,3500000.0,3000000.0,4
Heylama,2021-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Corporate Training, EdTech, Education,,",1-10,2,"€650,000",Pre-Seed,2022-09-10,"€550,000",1.0,,Build interactive AI conversational learning flows with a few instructions. A powerful chat interface to learn and practice anything.,Corporate Training,Heylama Corporate Training startup website,,,472.0,196.0,0,€,650000.0,€,550000.0,1.01,historical,1.01,650000.0,550000.0,3
AGX World,2021-09-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Data Integration, Information Technology,,,",11-50,1,"$2,500,000",Pre-Seed,2022-09-10,"$2,500,000",1.0,,AGX is building a global collaboration platform for the logistics industry. We replace emails & Excel between the often 15 parties involved.,Data Integration,AGX World Data Integration startup website,,,4000.0,500.0,1,$,2500000.0,$,2500000.0,1.01,historical,1.01,2525000.0,2525000.0,3
AWAKE Mobility,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Machine Learning, Railroad, Transportation",1-10,2,"€4,000,000",Seed,2022-09-12,"€4,000,000",8.0,,"AWAKE Mobility is a Data Science Startup, that supports bus operators with digital transformation.",Machine Learning,AWAKE Mobility Machine Learning startup website,,190.0,6000.0,500.0,1,€,4000000.0,€,4000000.0,1.01,historical,1.01,4000000.0,4000000.0,5
Safeverse,2021-01-01,"Ingolstadt, Bayern, Germany",Ingolstadt,Bayern,"Education, Metaverse, Training",1-10,1,"$1,000,000",Pre-Seed,2022-09-12,"$1,000,000",4.0,,"Safeverse is a training, Learning and Education to equip people for future jobs in the metaverse and real life.",Education,Safeverse Education startup website,,,,,0,$,1000000.0,$,1000000.0,1.01,historical,1.01,1010000.0,1010000.0,4
Horizon,2021-10-29,"Mainz, Rheinland-Pfalz, Germany",Mainz,Rheinland-Pfalz,"B2B, Market Research, SaaS, Software",11-50,2,"$1,400,000",Pre-Seed,2022-09-13,"$1,400,000",6.0,5.0,Horizon is a B2B SaaS company that offers behavioral consumer data.,B2B,Horizon B2B startup website,,,904.0,500.0,1,$,1400000.0,$,1400000.0,1.01,historical,1.01,1414000.0,1414000.0,3
MVP Match,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Product Management, Software,",11-50,2,"€5,000,000",Seed,2022-09-15,"€5,000,000",1.0,1.0,MVP Match connects freelance tech professionals with companies to solve challenging problems and create amazing digital products.,Product Management,MVP Match Product Management startup website,31.0,,27000.0,500.0,1,€,5000000.0,€,5000000.0,1.0,historical,1.0,5000000.0,5000000.0,5
VOIDS,2022-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"B2B, E-Commerce, Software",1-10,1,"$20,000",Pre-Seed,2022-09-15,"$20,000",1.0,,VOIDS helps E-Commerce SMEs able to compete with big sharks such as Amazon or Zalando on eye level.,B2B,VOIDS B2B startup website,,,2000.0,500.0,1,$,20000.0,$,20000.0,1.0,historical,1.0,20000.0,20000.0,3
Hyrise Academy,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, Education",1-10,2,"€750,000",Seed,2022-09-20,"€750,000",5.0,,Hyrise Academy is an online learning site for careers in tech sales.,E-Learning,Hyrise Academy E-Learning startup website,,,3000.0,500.0,1,€,750000.0,€,750000.0,1.0,historical,1.0,750000.0,750000.0,5
Uify,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Information Technology,,",1-10,2,,Seed,2022-09-20,,5.0,,Uify builds custom apps which are deployed to workspaces with deep collaborative functionality.,Apps,Uify Apps startup website,,,618.0,500.0,1,,,,,1.0,historical,1.0,,,3
Tyles,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,2,"€1,400,000",Pre-Seed,2022-09-21,"€1,400,000",11.0,2.0,Tyles is a software startup that helps users harness information more efficiently and effectively.,Software,Tyles Software startup website,,,114000.0,500.0,1,€,1400000.0,€,1400000.0,1.0,historical,1.0,1400000.0,1400000.0,3
Kaiko Systems,2020-10-19,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Machine Learning,,,,",251-500,1,"€2,000,000",Seed,2022-09-21,"€2,000,000",6.0,10.0,Kaiko Systems is an operational intelligence company that uses AI to turn frontline data into real-time asset health insights.,Artificial Intelligence (AI),Kaiko Systems Artificial Intelligence (AI) startup website,161.0,,2000.0,500.0,1,€,2000000.0,€,2000000.0,1.0,historical,1.0,2000000.0,2000000.0,4
Whal3s,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Software, Web3",1-10,1,"$100,000",Pre-Seed,2022-09-21,"$100,000",1.0,,Whal3s offers a comprehensive solution for seamlessly integrating Web3 technology into one's website or app.,Software,Whal3s Software startup website,378.0,,,,0,$,100000.0,$,100000.0,1.0,historical,1.0,100000.0,100000.0,3
